n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
521,520,128,111,3.105,0.959370,0.00259181
522,521,128,111,3.097,0.959383,0.00228704
523,522,128,111,3.111,0.959708,0.00276507
524,523,128,111,3.094,0.960092,0.00334214
525,524,128,111,3.108,0.960184,0.00220296
526,525,128,111,3.098,0.960199,0.00197070
527,526,128,111,3.403,0.960087,0.00251173
528,527,128,111,3.105,0.960049,0.00209714
529,528,128,111,3.098,0.960216,0.00246903
530,529,128,111,3.109,0.960216,0.00197453
531,530,128,111,3.105,0.960292,0.00254876
532,531,128,111,3.099,0.960434,0.00249201
533,532,128,111,3.098,0.960414,0.00264307
534,533,128,111,3.103,0.960295,0.00209347
535,534,128,111,3.110,0.960346,0.00182371
536,535,128,111,3.101,0.960317,0.00200797
537,536,128,111,3.103,0.960292,0.00169909
538,537,128,111,3.099,0.960216,0.00162405
539,538,128,111,3.104,0.960253,0.00222597
540,539,128,111,3.108,0.960134,0.00243191
541,540,128,111,3.195,0.960216,0.00252045
542,541,128,111,3.103,0.960174,0.00174358
543,542,128,111,3.100,0.960036,0.00198690
544,543,128,111,3.105,0.959971,0.00200678
545,544,128,111,3.103,0.959913,0.00190907
546,545,128,111,3.110,0.960022,0.00179195
